,Id,UserId,UserClass,term,grade,gender,majorClass,totalLearningTime,TimeClassNumber,LocationClassNumber,isPassExam
456,457,210745,A,201701,2016,female,science,176277,6,2,YES
457,458,210747,A,201702,2017,male,science,136051,6,4,YES
458,459,210748,B,201601,2015,female,science,121352,6,3,YES
459,460,210749,B,201601,2015,female,science,119399,6,2,YES
460,461,210750,D,201602,2016,female,science,81534,3,2,YES
461,462,210751,A,201701,2016,female,science,133262,6,2,YES
462,463,210808,D,201702,2017,male,science,33932,3,3,YES
463,464,210825,D,201601,2015,male,science,25043,3,2,NO
464,465,210856,G,201601,2015,male,science,342,1,1,YES
465,466,210961,A,201601,2015,female,science,128004,6,5,YES
466,467,210962,D,201701,2016,male,science,63006,4,3,YES
467,468,210963,B,201601,2015,male,science,81471,5,2,YES
468,469,210964,A,201601,2015,female,science,80316,6,2,YES
469,470,210965,A,201701,2016,female,science,66687,4,4,YES
470,471,210966,A,201602,2016,female,science,166354,6,4,NO
471,472,210967,A,201601,2015,female,science,56302,5,5,NO
472,473,210968,A,201601,2015,male,science,68988,4,5,YES
473,474,210970,D,201601,2015,female,science,70345,6,2,NO
474,475,210971,A,201601,2015,female,science,68481,6,4,YES
475,476,210972,A,201602,2016,female,science,145450,6,3,YES
476,477,210974,A,201701,2016,female,science,63548,5,5,NO
477,478,210975,A,201701,2016,female,science,125477,6,4,YES
478,479,210976,A,201702,2017,female,science,119926,5,3,NO
479,480,210978,D,201601,2014,female,science,118762,5,5,YES
480,481,210979,D,201601,2015,female,science,144584,4,6,YES
481,482,210981,A,201601,2015,male,science,58463,4,4,YES
482,483,210982,E,201701,2016,male,science,134805,5,1,NO
483,484,210983,E,201601,2015,male,science,113024,5,1,NO
484,485,210984,A,201601,2015,female,science,158987,6,8,YES
485,486,210985,B,201601,2015,male,science,66428,5,3,YES
486,487,210986,F,201701,2016,male,science,2750,1,3,YES
487,488,210987,B,201601,2014,male,science,115194,6,4,YES
488,489,210988,A,201601,2015,female,science,83024,6,2,YES
489,490,210989,D,201601,2015,female,literature,168652,3,4,YES
490,491,210990,A,201602,2016,female,science,175404,5,5,YES
491,492,210991,C,201601,2015,female,science,101819,3,2,YES
492,493,210992,A,201601,2015,female,science,191327,5,3,YES
493,494,210993,A,201702,2016,female,science,135859,5,4,YES
494,495,210994,A,201601,2014,female,science,90935,4,4,YES
495,496,210996,A,201601,2015,female,literature,71444,6,2,NO
496,497,210997,D,201701,2016,male,science,186014,5,4,YES
497,498,210998,A,201601,2015,female,science,121387,6,5,YES
498,499,210999,A,201601,2015,female,science,80283,6,5,YES
499,500,211000,A,201601,2015,male,science,237390,6,5,NO
500,501,211001,A,201601,2015,female,science,90619,6,7,YES
501,502,211002,A,201601,2015,female,science,99962,4,6,NO
502,503,211003,B,201701,2016,male,literature,81609,6,3,YES
503,504,211004,A,201701,2016,female,literature,126768,6,3,YES
504,505,211005,A,201701,2016,female,science,81150,5,3,YES
505,506,211006,D,201702,2017,female,science,4488,2,5,YES
506,507,211007,B,201601,2015,male,science,115669,5,2,YES
