,Id,UserId,UserClass,term,grade,gender,majorClass,totalLearningTime,TimeClassNumber,LocationClassNumber,isPassExam
709,710,211467,E,201601,2015,female,literature,88764,4,1,YES
710,711,211468,B,201601,2015,female,literature,163957,6,2,YES
711,712,211469,E,201602,2016,female,literature,201881,5,1,YES
712,713,211470,E,201602,2016,female,literature,72175,4,1,YES
713,714,211471,B,201601,2015,female,literature,139265,6,2,YES
714,715,211472,B,201601,2015,female,literature,202036,5,3,YES
715,716,211473,B,201601,2015,female,literature,84971,6,2,YES
716,717,211474,B,201602,2016,female,literature,127984,5,2,YES
717,718,211475,C,201702,2017,female,literature,177265,6,2,YES
718,719,211476,E,201601,2015,female,literature,122040,4,1,YES
719,720,211480,E,201601,2015,female,literature,63638,4,1,NO
720,721,211481,C,201601,2015,female,literature,122367,5,2,YES
721,722,211482,A,201601,2015,female,literature,93225,5,4,NO
722,723,211483,D,201601,2015,male,literature,116104,4,3,YES
723,724,211484,B,201602,2016,male,literature,122469,6,2,YES
724,725,211486,E,201701,2016,female,literature,144202,6,1,YES
725,726,211487,C,201602,2016,male,literature,147414,4,5,YES
726,727,211488,B,201702,2017,female,literature,132290,6,3,YES
727,728,211490,A,201702,2017,male,literature,182357,6,3,NO
728,729,211492,D,201502,2015,female,literature,122497,5,3,YES
729,730,211493,E,201601,2015,female,literature,81857,5,1,NO
730,731,211494,A,201601,2015,male,literature,123089,6,4,YES
731,732,211495,A,201601,2015,male,literature,134514,6,4,YES
732,733,211496,E,201601,2015,female,literature,91181,6,1,NO
733,734,211497,E,201601,2015,female,literature,113538,5,1,YES
734,735,211498,E,201502,2015,female,literature,121923,5,1,YES
735,736,211499,A,201601,2015,male,literature,225939,5,2,YES
736,737,211500,E,201601,2015,female,literature,,5,1,YES
737,738,211502,A,201601,2015,male,literature,133889,6,5,YES
738,739,211503,A,201601,2015,male,literature,78544,6,3,YES
739,740,211504,B,201602,2016,female,literature,201091,6,2,YES
740,741,211505,C,201702,2017,female,literature,103599,4,3,YES
741,742,211508,D,201502,2015,male,literature,115816,5,5,YES
742,743,211509,B,201701,2015,female,literature,115727,6,2,YES
743,744,211510,E,201601,2015,female,literature,224810,6,1,YES
744,745,211511,E,201601,2015,female,literature,142423,3,1,YES
745,746,211512,B,201701,2016,female,literature,47991,5,3,NO
746,747,211513,E,201601,2015,female,literature,84034,4,1,YES
747,748,211514,B,201601,2015,female,literature,152515,5,3,YES
748,749,211515,C,201601,2015,female,literature,135531,6,2,YES
749,750,211516,B,201601,2015,male,literature,113728,5,2,YES
750,751,211517,B,201701,2016,female,literature,141853,6,3,YES
751,752,211519,A,201701,2016,female,literature,136234,6,2,YES
752,753,211520,C,201601,2015,female,literature,108169,5,2,YES
753,754,211521,C,201601,2015,female,literature,137825,3,2,YES
754,755,211522,A,201601,2015,male,literature,65787,5,4,NO
755,756,211523,C,201701,2015,female,literature,183226,4,2,YES
756,757,211524,A,201701,2016,male,literature,108288,6,4,YES
757,758,211525,B,201702,2017,female,literature,143466,6,2,YES
758,759,211526,E,201601,2015,female,literature,142489,5,1,YES
759,760,211527,E,201601,2015,female,literature,118435,5,1,YES
760,761,211528,C,201601,2015,male,literature,123412,3,2,YES
761,762,211529,E,201601,2015,female,literature,104968,5,1,YES
762,763,211530,E,201701,2016,female,literature,210352,6,1,YES
763,764,211531,A,201702,2017,male,literature,78667,5,4,YES
764,765,211533,D,201601,2015,male,literature,127948,4,4,YES
765,766,211534,E,201601,2015,female,science,161202,5,1,NO
766,767,211535,D,201601,2015,male,literature,75409,4,4,NO
767,768,211536,B,201601,2015,female,literature,168990,6,2,YES
768,769,211537,E,201601,2015,female,literature,144501,5,1,YES
769,770,211538,E,201601,2015,female,literature,85625,2,1,YES
770,771,211539,C,201601,2015,female,literature,117837,3,2,NO
771,772,211540,B,201601,2015,female,literature,131103,5,3,YES
772,773,211541,E,201701,2016,female,literature,124390,4,1,YES
773,774,211542,E,201701,2016,female,literature,128482,5,1,NO
774,775,211544,D,201601,2015,male,literature,122224,4,4,NO
775,776,211547,B,201601,2015,female,literature,132092,6,2,YES
776,777,211548,A,201601,2015,male,literature,119445,6,2,YES
777,778,211549,A,201602,2016,female,literature,145633,6,3,YES
778,779,211550,E,201701,2016,female,literature,111545,6,1,YES
779,780,211551,F,201702,2017,male,literature,78,1,2,YES
780,781,211552,A,201601,2015,male,literature,114964,5,7,YES
781,782,211554,C,201702,2017,female,literature,120683,4,3,NO
782,783,211555,B,201601,2015,female,literature,147755,5,2,NO
783,784,211556,A,201601,2016,male,literature,177135,6,5,NO
784,785,211557,C,201601,2015,female,literature,67378,5,2,NO
785,786,211558,B,201601,2015,female,literature,137603,6,3,YES
786,787,211559,E,201601,2015,female,literature,179585,5,1,YES
787,788,211560,E,201601,2015,female,literature,93355,4,1,YES
788,789,211561,E,201701,2016,female,literature,81789,6,1,YES
789,790,211562,C,201601,2015,female,literature,96389,4,2,YES
790,791,211563,B,201601,2015,female,literature,136423,6,2,YES
791,792,211564,C,201601,2015,female,literature,149166,3,2,YES
792,793,211565,E,201601,2015,female,literature,109562,5,1,YES
793,794,211566,D,201601,2015,male,literature,,4,6,NO
794,795,211568,B,201602,2016,female,literature,148975,4,2,YES
795,796,211569,D,201601,2015,male,literature,127192,3,3,YES
796,797,211570,A,201701,2016,male,literature,114852,6,7,YES
797,798,211571,B,201602,2016,female,literature,137225,6,3,YES
798,799,211572,B,201601,2015,female,literature,116457,5,2,YES
799,800,211573,C,201601,2015,female,literature,131797,4,2,NO
