,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_impurity_decrease,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,0.001289033889770508,8.714577070457668e-05,0.00015554428100585937,4.7554795509584374e-06,entropy,0.0020408163265306124,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0020408163265306124}",0.68125,0.64375,0.725,0.65625,0.74375,0.6900000000000001,0.03864906208435075,103,0.9203125,0.9640625,0.959375,0.971875,0.9453125,0.9521875,0.01813038713045038
11,0.0012689590454101562,8.006543174822258e-05,0.00015211105346679688,4.126776985820543e-06,entropy,0.0022448979591836735,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0022448979591836735}",0.66875,0.68125,0.7375,0.68125,0.75,0.7037500000000001,0.03321332563896607,98,0.91875,0.95625,0.959375,0.9703125,0.94375,0.9496874999999999,0.017633419974582377
12,0.0012398242950439453,5.750138147157741e-05,0.0001533031463623047,4.240902937766868e-06,entropy,0.0024489795918367346,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0024489795918367346}",0.68125,0.69375,0.75625,0.675,0.75625,0.7125000000000001,0.036228441865473575,96,0.903125,0.9375,0.95,0.9546875,0.94375,0.9378124999999999,0.018285923547909755
13,0.0011997222900390625,5.139079151341973e-05,0.00014886856079101562,2.799160026824793e-06,entropy,0.002653061224489796,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.002653061224489796}",0.73125,0.71875,0.75625,0.675,0.75,0.72625,0.028885550020728335,93,0.890625,0.9203125,0.9390625,0.9375,0.934375,0.9243750000000001,0.01813038713045036
14,0.0011539459228515625,3.974173828270881e-05,0.00015134811401367186,3.266943575470092e-06,entropy,0.002857142857142857,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.002857142857142857}",0.74375,0.75625,0.78125,0.7,0.775,0.75125,0.028885550020728373,83,0.878125,0.909375,0.9265625,0.91875,0.9171875,0.9099999999999999,0.016846039964929414
15,0.001110076904296875,7.004979676707089e-05,0.00014891624450683594,3.9683624785543784e-06,entropy,0.0030612244897959186,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0030612244897959186}",0.775,0.78125,0.7625,0.70625,0.78125,0.7612499999999999,0.02833946012188657,78,0.85,0.90625,0.9046875,0.9171875,0.890625,0.89375,0.023447914352880104
16,0.001052713394165039,3.0219815890748307e-05,0.00014638900756835938,4.506048070879917e-06,entropy,0.0032653061224489797,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0032653061224489797}",0.775,0.78125,0.75625,0.725,0.775,0.7625,0.020539595906443744,77,0.85,0.88125,0.89375,0.878125,0.8671875,0.8740625,0.014710752869924792
17,0.0010315418243408204,2.0959474787714766e-05,0.00014667510986328126,3.9620548396760914e-06,entropy,0.0034693877551020408,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0034693877551020408}",0.76875,0.8,0.7625,0.74375,0.775,0.7699999999999999,0.018285923547909755,74,0.846875,0.86875,0.8859375,0.875,0.859375,0.8671875,0.013331705629813463
18,0.0009911060333251953,3.9086979128677996e-05,0.0001475811004638672,6.0710190898520415e-06,entropy,0.0036734693877551023,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0036734693877551023}",0.775,0.8,0.7625,0.74375,0.76875,0.7700000000000001,0.018285923547909755,73,0.8453125,0.85625,0.8859375,0.871875,0.8515625,0.8621875000000001,0.014770377872620599
19,0.0009552478790283203,4.8726971725127644e-05,0.00014595985412597657,5.2308840651307254e-06,entropy,0.0038775510204081634,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0038775510204081634}",0.775,0.8,0.775,0.76875,0.76875,0.7775000000000001,0.011592023119369634,68,0.8453125,0.85625,0.8765625,0.8609375,0.8515625,0.858125,0.010569709078304857
